0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Project Title: Digestion Pre-treatment and Sidestream Nitrogen Removal Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract No.: Contract C4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List of Submittals to Jacobs Via Prolog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Closed /,Closed /,Pending Jacobs Response,,,,CES to Response,,,,By Discipline,,,,,,,,,,,,Document Review Period (Workdays),,,,,,,,,,,,,,,,,,,
Week,Weekly Submission,Total Submissions,Total Response ,Approved,Approved,> 20 Days,> 14 Days,< 14 Days,Total RFA Pending Jacobs Response,< 14 Days,< 14 Days (%),> 14 Days,> 14 Days (%),C&S+Archi,GeoTech,Piping,BS,Mech,Process,BIM,QA/QC,HSE,Con; & Proc,PMT,Other,Days ≤ 20,Days > 20,Days > 30,Days > 40,Days > 50,Days >60,Days >70,Days >80,Days >90,Days >100,Days >110,Days >120,Days >130,Days >140,Days >150,Days >160,Days >170,Days >180,Days >190,Days >200
2023-05-20 00:00:00,12,12,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-27 00:00:00,4,16,0,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-03 00:00:00,2,19,0,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-10 00:00:00,2,21,1,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
